Week No,Curr_Rank,Prev_Rank,Operator,Alliance,Curr_Total_TEU,Prev_Total_TEU,Var_Total_TEU,Curr_Total_Ships,Prev_Total_Ships,Var_Total_Ships,Curr_Owned_TEU,Prev_Owned_TEU,Var_Owned_TEU,Curr_Owned_Ships,Prev_Owned_Ships,Var_Owned_Ships,Curr_Chartered_TEU,Prev_Chartered_TEU,Var_Chartered_TEU,Curr_Chartered_Ships,Prev_Chartered_Ships,Var_Chartered_Ships,Curr_Orderbook_TEU,Prev_Orderbook_TEU,Var_Orderbook_TEU,Curr_Orderbook_Ships,Prev_Orderbook_Ships,Var_Orderbook_Ships
17.0,1.0,1.0,Mediterranean Shg Co,,7303009,7275079,27930,998,995,3,4629874,4610442,19432,743,740,3,2673135,2664637,8498,255,255,0,2151832,2163312,-11480,126,127,-1
17.0,2.0,2.0,Maersk,,4649212,4650749,-1537,734,734,0,2820743,2820743,0,347,347,0,1828469,1830006,-1537,387,387,0,1206197,1206197,0,92,92,0
17.0,3.0,3.0,CMA CGM Group,Ocean Alliance,4266573,4266573,0,724,724,0,2693941,2693941,0,362,362,0,1572632,1572632,0,362,362,0,1816898,1816898,0,153,153,0
17.0,4.0,4.0,COSCO Group,Ocean Alliance,3594506,3595700,-1194,554,555,-1,2162026,2162522,-496,208,208,0,1432480,1433178,-698,346,347,-1,1400560,1400560,0,112,112,0
17.0,5.0,5.0,Hapag-Lloyd,,2393869,2386793,7076,289,287,2,1452408,1452408,0,133,133,0,941461,934385,7076,156,154,2,491026,491026,0,59,59,0
17.0,6.0,6.0,ONE (Ocean Network Express),Premier Alliance,2131240,2132276,-1036,272,273,-1,987212,987212,0,107,107,0,1144028,1145064,-1036,165,166,-1,562264,562264,0,48,48,0
17.0,7.0,7.0,Evergreen Line,Ocean Alliance,1973231,1973231,0,239,239,0,1389575,1389575,0,164,164,0,583656,583656,0,75,75,0,908528,908528,0,75,75,0
17.0,8.0,8.0,HMM Co Ltd,Premier Alliance,1025953,1025953,0,97,97,0,842522,842522,0,73,73,0,183431,183431,0,24,24,0,234260,234260,0,37,37,0
17.0,9.0,9.0,Yang Ming Marine Transport Corp.,Premier Alliance,738968,723368,15600,97,96,1,363756,348156,15600,61,60,1,375212,375212,0,36,36,0,205960,221560,-15600,16,17,-1
17.0,10.0,10.0,Zim,,698205,698205,0,115,115,0,92934,92934,0,15,15,0,605271,605271,0,100,100,0,189328,189328,0,24,24,0
17.0,11.0,11.0,Wan Hai Lines,,591132,591132,0,120,120,0,591132,591132,0,120,120,0,0,0,0,0,0,0,440292,440292,0,45,45,0
17.0,12.0,12.0,PIL (Pacific Int. Line),,442216,442216,0,99,99,0,309258,309258,0,80,80,0,132958,132958,0,19,19,0,315584,315584,0,29,29,0
17.0,13.0,13.0,X-Press Feeders Group,,196559,196978,-419,107,105,2,106724,108846,-2122,51,51,0,89835,88132,1703,56,54,2,41916,41916,0,6,6,0
17.0,14.0,14.0,SITC,,187472,187472,0,121,121,0,163701,163701,0,100,100,0,23771,23771,0,21,21,0,50640,50640,0,28,28,0
17.0,15.0,15.0,UniFeeder,,167675,168543,-868,95,96,-1,13582,13582,0,2,2,0,154093,154961,-868,93,94,-1,77911,77911,0,14,14,0
