Date,Route Code,Rate,Source,Group,POL,POD,Bound,Upload_TS
02 Jan 2026,FBX01,2617.0,Freightos,FBX,China/East Asia,North America West Coast,Eastbound,2026-03-30 11:46:28
02 Jan 2026,FBX03,3757.0,Freightos,FBX,China/East Asia,North America East Coast,Eastbound,2026-03-30 11:46:28
02 Jan 2026,FBX11,3000.0,Freightos,FBX,China/East Asia,North Europe,Westbound,2026-03-30 11:46:28
02 Jan 2026,FBX13,4844.0,Freightos,FBX,China/East Asia,Mediterranean,Westbound,2026-03-26 13:09:37
05 Mar 2026,WCI-LAX-SHA,724.0,Drewry,WCI,Los Angeles,Shanghai,Westbound,2026-03-26 13:05:49
05 Mar 2026,WCI-NYC-RTM,964.0,Drewry,WCI,New York,Rotterdam,Eastbound,2026-03-26 13:05:49
05 Mar 2026,WCI-RTM-NYC,1570.0,Drewry,WCI,Rotterdam,New York,Westbound,2026-03-26 13:05:49
05 Mar 2026,WCI-RTM-SHA,543.0,Drewry,WCI,Rotterdam,Shanghai,Westbound,2026-03-26 13:05:49
05 Mar 2026,WCI-SHA-GOA,2844.0,Drewry,WCI,Shanghai,Genoa,Eastbound,2026-03-26 13:05:49
05 Mar 2026,WCI-SHA-LAX,2402.0,Drewry,WCI,Shanghai,Los Angeles,Eastbound,2026-03-26 13:05:49
05 Mar 2026,WCI-SHA-NYC,2977.0,Drewry,WCI,Shanghai,New York,Eastbound,2026-03-26 13:05:49
05 Mar 2026,WCI-SHA-RTM,2052.0,Drewry,WCI,Shanghai,Rotterdam,Eastbound,2026-03-26 13:05:49
06 Feb 2026,FBX01,1915.8,Freightos,FBX,China/East Asia,North America West Coast,Eastbound,2026-03-30 11:46:28
06 Feb 2026,FBX03,3456.8,Freightos,FBX,China/East Asia,North America East Coast,Eastbound,2026-03-30 11:46:28
06 Feb 2026,FBX11,2548.4,Freightos,FBX,China/East Asia,North Europe,Westbound,2026-03-30 11:46:28
06 Feb 2026,FBX13,3783.6,Freightos,FBX,China/East Asia,Mediterranean,Westbound,2026-03-30 11:46:28
06 Mar 2026,FBX01,2021.8,Freightos,FBX,China/East Asia,North America West Coast,Eastbound,2026-03-30 11:46:28
06 Mar 2026,FBX03,2748.4,Freightos,FBX,China/East Asia,North America East Coast,Eastbound,2026-03-30 11:46:28
06 Mar 2026,FBX11,2614.2,Freightos,FBX,China/East Asia,North Europe,Westbound,2026-03-30 11:46:28
06 Mar 2026,FBX13,3717.0,Freightos,FBX,China/East Asia,Mediterranean,Westbound,2026-03-30 11:46:28
06 Mar 2026,SCFI-SHA-BUS,139.0,TNSC,SCFI,Shanghai,Busan,Eastbound,2026-03-30 11:42:04
06 Mar 2026,SCFI-SHA-DUR,2008.0,TNSC,SCFI,Shanghai,Durban,Westbound,2026-03-30 11:42:04
